"Step","train/cls_loss","train/cls_loss__MIN","train/cls_loss__MAX"
"264","0.48483","0.48483","0.48483"
"265","0.49031","0.49031","0.49031"
"266","0.47897","0.47897","0.47897"
"267","0.47539","0.47539","0.47539"
"268","0.48707","0.48707","0.48707"
"269","0.4806","0.4806","0.4806"
"270","0.47094","0.47094","0.47094"
"271","0.4749","0.4749","0.4749"
"272","0.46685","0.46685","0.46685"
"273","0.47218","0.47218","0.47218"
"274","0.48064","0.48064","0.48064"
"275","0.47683","0.47683","0.47683"
"276","0.46663","0.46663","0.46663"
"277","0.47002","0.47002","0.47002"
"278","0.46018","0.46018","0.46018"
"279","0.47717","0.47717","0.47717"
"280","0.48476","0.48476","0.48476"
"281","0.47314","0.47314","0.47314"
"282","0.48112","0.48112","0.48112"
"283","0.45412","0.45412","0.45412"
"284","0.46583","0.46583","0.46583"
"285","0.47181","0.47181","0.47181"
"286","0.45663","0.45663","0.45663"
"287","0.45743","0.45743","0.45743"
"288","0.46111","0.46111","0.46111"
"289","0.45787","0.45787","0.45787"
"290","0.46032","0.46032","0.46032"
"291","0.44662","0.44662","0.44662"
"292","0.45285","0.45285","0.45285"
"293","0.44494","0.44494","0.44494"
"294","0.44709","0.44709","0.44709"
"295","0.47586","0.47586","0.47586"
"296","0.4761","0.4761","0.4761"
"297","0.44497","0.44497","0.44497"
"298","0.46547","0.46547","0.46547"
"299","0.46199","0.46199","0.46199"
"300","0.4677","0.4677","0.4677"
"301","0.46581","0.46581","0.46581"
"302","0.44083","0.44083","0.44083"
"303","0.45185","0.45185","0.45185"
"304","0.4559","0.4559","0.4559"
"305","0.46334","0.46334","0.46334"
"306","0.4491","0.4491","0.4491"
"307","0.46227","0.46227","0.46227"
"308","0.4474","0.4474","0.4474"
"309","0.45871","0.45871","0.45871"
"310","0.44758","0.44758","0.44758"
"311","0.44858","0.44858","0.44858"
"312","0.44442","0.44442","0.44442"
"313","0.4402","0.4402","0.4402"
"314","0.45978","0.45978","0.45978"
"315","0.4413","0.4413","0.4413"
"316","0.44402","0.44402","0.44402"
"317","0.45275","0.45275","0.45275"
"318","0.44977","0.44977","0.44977"
"319","0.45187","0.45187","0.45187"
"320","0.43043","0.43043","0.43043"
"321","0.44411","0.44411","0.44411"
"322","0.44369","0.44369","0.44369"
"323","0.44982","0.44982","0.44982"
"324","0.42772","0.42772","0.42772"
"325","0.42466","0.42466","0.42466"
"326","0.4199","0.4199","0.4199"
"327","0.42869","0.42869","0.42869"
"328","0.4504","0.4504","0.4504"
"329","0.43691","0.43691","0.43691"
"330","0.43279","0.43279","0.43279"
"331","0.43559","0.43559","0.43559"
"332","0.44394","0.44394","0.44394"
"333","0.42763","0.42763","0.42763"
"334","0.43754","0.43754","0.43754"
"335","0.42862","0.42862","0.42862"
"336","0.43464","0.43464","0.43464"
"337","0.43069","0.43069","0.43069"
"338","0.42425","0.42425","0.42425"
"339","0.42963","0.42963","0.42963"
"340","0.43079","0.43079","0.43079"
"341","0.43149","0.43149","0.43149"
"342","0.43372","0.43372","0.43372"
"343","0.43984","0.43984","0.43984"
"344","0.43176","0.43176","0.43176"
"345","0.41229","0.41229","0.41229"
"346","0.43097","0.43097","0.43097"
"347","0.43808","0.43808","0.43808"
"348","0.42035","0.42035","0.42035"
"349","0.40348","0.40348","0.40348"
"350","0.41409","0.41409","0.41409"
"351","0.42939","0.42939","0.42939"
"352","0.42189","0.42189","0.42189"
"353","0.4047","0.4047","0.4047"
"354","0.41599","0.41599","0.41599"
"355","0.4233","0.4233","0.4233"
"356","0.42636","0.42636","0.42636"
"357","0.42791","0.42791","0.42791"
"358","0.43437","0.43437","0.43437"
"359","0.42208","0.42208","0.42208"
"360","0.40264","0.40264","0.40264"
"361","0.42304","0.42304","0.42304"
"362","0.4205","0.4205","0.4205"
"363","0.41405","0.41405","0.41405"
"364","0.42363","0.42363","0.42363"
"365","0.41946","0.41946","0.41946"
"366","0.41484","0.41484","0.41484"
"367","0.40811","0.40811","0.40811"
"368","0.41897","0.41897","0.41897"
"369","0.41767","0.41767","0.41767"
"370","0.4159","0.4159","0.4159"
"371","0.42118","0.42118","0.42118"
"372","0.40856","0.40856","0.40856"
"373","0.39868","0.39868","0.39868"
"374","0.40312","0.40312","0.40312"
"375","0.39578","0.39578","0.39578"
"376","0.40885","0.40885","0.40885"
"377","0.40959","0.40959","0.40959"
"378","0.40597","0.40597","0.40597"
"379","0.40096","0.40096","0.40096"
"380","0.40746","0.40746","0.40746"
"381","0.4208","0.4208","0.4208"
"382","0.40614","0.40614","0.40614"
"383","0.40313","0.40313","0.40313"
"384","0.39667","0.39667","0.39667"
"385","0.3903","0.3903","0.3903"
"386","0.40279","0.40279","0.40279"
"387","0.39765","0.39765","0.39765"
"388","0.39718","0.39718","0.39718"
"389","0.40066","0.40066","0.40066"
"390","0.40404","0.40404","0.40404"
"391","0.4054","0.4054","0.4054"
"392","0.40755","0.40755","0.40755"
"393","0.40328","0.40328","0.40328"
"394","0.3967","0.3967","0.3967"
"395","0.38989","0.38989","0.38989"
"396","0.3924","0.3924","0.3924"
"397","0.38333","0.38333","0.38333"
"398","0.40424","0.40424","0.40424"
"399","0.39913","0.39913","0.39913"
"400","0.39598","0.39598","0.39598"
"401","0.39034","0.39034","0.39034"
"402","0.41072","0.41072","0.41072"
"403","0.37315","0.37315","0.37315"
"404","0.39413","0.39413","0.39413"
"405","0.39494","0.39494","0.39494"
"406","0.39003","0.39003","0.39003"
"407","0.3796","0.3796","0.3796"
"408","0.38121","0.38121","0.38121"
"409","0.37352","0.37352","0.37352"
"410","0.38241","0.38241","0.38241"
"411","0.37746","0.37746","0.37746"
"412","0.38731","0.38731","0.38731"
"413","0.39111","0.39111","0.39111"
"414","0.39187","0.39187","0.39187"
"415","0.37228","0.37228","0.37228"
"416","0.39055","0.39055","0.39055"
"417","0.3825","0.3825","0.3825"
"418","0.38828","0.38828","0.38828"
"419","0.37008","0.37008","0.37008"
"420","0.37665","0.37665","0.37665"
"421","0.36466","0.36466","0.36466"
"422","0.37418","0.37418","0.37418"
"423","0.37486","0.37486","0.37486"
"424","0.35981","0.35981","0.35981"
"425","0.37157","0.37157","0.37157"
"426","0.37811","0.37811","0.37811"
"427","0.39209","0.39209","0.39209"
"428","0.36694","0.36694","0.36694"
"429","0.37344","0.37344","0.37344"
"430","0.36284","0.36284","0.36284"
"431","0.3603","0.3603","0.3603"
"432","0.36578","0.36578","0.36578"
"433","0.36654","0.36654","0.36654"
"434","0.36027","0.36027","0.36027"
"435","0.38037","0.38037","0.38037"
"436","0.35933","0.35933","0.35933"
"437","0.36555","0.36555","0.36555"
"438","0.372","0.372","0.372"
"439","0.36599","0.36599","0.36599"
"440","0.35638","0.35638","0.35638"
"441","0.36604","0.36604","0.36604"
"442","0.37539","0.37539","0.37539"
"443","0.35886","0.35886","0.35886"
"444","0.36216","0.36216","0.36216"
"445","0.35791","0.35791","0.35791"
"446","0.35474","0.35474","0.35474"
"447","0.3643","0.3643","0.3643"
"448","0.36643","0.36643","0.36643"
"449","0.35972","0.35972","0.35972"
"450","0.36905","0.36905","0.36905"
"451","0.36281","0.36281","0.36281"
"452","0.36255","0.36255","0.36255"
"453","0.3579","0.3579","0.3579"
"454","0.35422","0.35422","0.35422"
"455","0.35978","0.35978","0.35978"
"456","0.35359","0.35359","0.35359"
"457","0.35613","0.35613","0.35613"
"458","0.34686","0.34686","0.34686"
"459","0.35279","0.35279","0.35279"
"460","0.35813","0.35813","0.35813"
"461","0.3459","0.3459","0.3459"
"462","0.36029","0.36029","0.36029"
"463","0.35597","0.35597","0.35597"
"464","0.356","0.356","0.356"
"465","0.36223","0.36223","0.36223"
"466","0.35134","0.35134","0.35134"
"467","0.34127","0.34127","0.34127"
"468","0.34513","0.34513","0.34513"
"469","0.35268","0.35268","0.35268"
"470","0.34525","0.34525","0.34525"
"471","0.3556","0.3556","0.3556"
"472","0.34184","0.34184","0.34184"
"473","0.34156","0.34156","0.34156"
"474","0.33404","0.33404","0.33404"
"475","0.34235","0.34235","0.34235"
"476","0.33621","0.33621","0.33621"
"477","0.32944","0.32944","0.32944"
"478","0.3324","0.3324","0.3324"
"479","0.32683","0.32683","0.32683"
"480","0.34099","0.34099","0.34099"
"481","0.33889","0.33889","0.33889"
"482","0.33811","0.33811","0.33811"
"483","0.35103","0.35103","0.35103"
"484","0.32759","0.32759","0.32759"
"485","0.32886","0.32886","0.32886"
"486","0.33183","0.33183","0.33183"
"487","0.33215","0.33215","0.33215"
"488","0.33357","0.33357","0.33357"
"489","0.32945","0.32945","0.32945"
"490","0.32949","0.32949","0.32949"
"491","0.29971","0.29971","0.29971"
"492","0.28204","0.28204","0.28204"
"493","0.28708","0.28708","0.28708"
"494","0.26735","0.26735","0.26735"
"495","0.27491","0.27491","0.27491"
"496","0.26848","0.26848","0.26848"
"497","0.26932","0.26932","0.26932"
"498","0.27172","0.27172","0.27172"
"499","0.26428","0.26428","0.26428"
"500","0.2688","0.2688","0.2688"
