"Step","train/box_loss","train/box_loss__MIN","train/box_loss__MAX"
"167","0.87235","0.87235","0.87235"
"168","0.8951","0.8951","0.8951"
"169","0.87315","0.87315","0.87315"
"170","0.89659","0.89659","0.89659"
"171","0.90531","0.90531","0.90531"
"172","0.90077","0.90077","0.90077"
"173","0.90412","0.90412","0.90412"
"174","0.87554","0.87554","0.87554"
"175","0.90303","0.90303","0.90303"
"176","0.90136","0.90136","0.90136"
"177","0.92394","0.92394","0.92394"
"178","0.95668","0.95668","0.95668"
"179","0.91475","0.91475","0.91475"
"180","0.88548","0.88548","0.88548"
"181","0.89162","0.89162","0.89162"
"182","0.87339","0.87339","0.87339"
"183","0.86369","0.86369","0.86369"
"184","0.88328","0.88328","0.88328"
"185","0.85936","0.85936","0.85936"
"186","0.85892","0.85892","0.85892"
"187","0.83869","0.83869","0.83869"
"188","0.84642","0.84642","0.84642"
"189","0.85731","0.85731","0.85731"
"190","0.85962","0.85962","0.85962"
"191","0.83651","0.83651","0.83651"
"192","0.85328","0.85328","0.85328"
"193","0.84591","0.84591","0.84591"
"194","0.85216","0.85216","0.85216"
"195","0.88314","0.88314","0.88314"
"196","0.87082","0.87082","0.87082"
"197","0.85919","0.85919","0.85919"
"198","0.86063","0.86063","0.86063"
"199","0.84708","0.84708","0.84708"
"200","0.87706","0.87706","0.87706"
"201","0.84153","0.84153","0.84153"
"202","0.81817","0.81817","0.81817"
"203","0.82194","0.82194","0.82194"
"204","0.83959","0.83959","0.83959"
"205","0.82832","0.82832","0.82832"
"206","0.81473","0.81473","0.81473"
"207","0.83789","0.83789","0.83789"
"208","0.84817","0.84817","0.84817"
"209","0.83185","0.83185","0.83185"
"210","0.86016","0.86016","0.86016"
"211","0.80928","0.80928","0.80928"
"212","0.80533","0.80533","0.80533"
"213","0.82279","0.82279","0.82279"
"214","0.83093","0.83093","0.83093"
"215","0.83431","0.83431","0.83431"
"216","0.81734","0.81734","0.81734"
"217","0.81828","0.81828","0.81828"
"218","0.84725","0.84725","0.84725"
"219","0.83227","0.83227","0.83227"
"220","0.82545","0.82545","0.82545"
"221","0.81771","0.81771","0.81771"
"222","0.82051","0.82051","0.82051"
"223","0.83549","0.83549","0.83549"
"224","0.79784","0.79784","0.79784"
"225","0.7887","0.7887","0.7887"
"226","0.82077","0.82077","0.82077"
"227","0.82436","0.82436","0.82436"
"228","0.79513","0.79513","0.79513"
"229","0.81076","0.81076","0.81076"
"230","0.78545","0.78545","0.78545"
"231","0.81064","0.81064","0.81064"
"232","0.84422","0.84422","0.84422"
"233","0.79707","0.79707","0.79707"
"234","0.83311","0.83311","0.83311"
"235","0.78913","0.78913","0.78913"
"236","0.81354","0.81354","0.81354"
"237","0.81492","0.81492","0.81492"
"238","0.81691","0.81691","0.81691"
"239","0.77665","0.77665","0.77665"
"240","0.80114","0.80114","0.80114"
"241","0.77979","0.77979","0.77979"
"242","0.78838","0.78838","0.78838"
"243","0.7808","0.7808","0.7808"
"244","0.8043","0.8043","0.8043"
"245","0.77663","0.77663","0.77663"
"246","0.79026","0.79026","0.79026"
"247","0.77998","0.77998","0.77998"
"248","0.79903","0.79903","0.79903"
"249","0.80335","0.80335","0.80335"
"250","0.77917","0.77917","0.77917"
"251","0.79025","0.79025","0.79025"
"252","0.80577","0.80577","0.80577"
"253","0.8332","0.8332","0.8332"
"254","0.79133","0.79133","0.79133"
"255","0.79442","0.79442","0.79442"
"256","0.78025","0.78025","0.78025"
"257","0.78051","0.78051","0.78051"
"258","0.7788","0.7788","0.7788"
"259","0.76885","0.76885","0.76885"
"260","0.74456","0.74456","0.74456"
"261","0.76058","0.76058","0.76058"
"262","0.76869","0.76869","0.76869"
"263","0.79161","0.79161","0.79161"
"264","0.77121","0.77121","0.77121"
"265","0.78077","0.78077","0.78077"
"266","0.78219","0.78219","0.78219"
