"Step","05072025_yolov11n_histEQ - train/box_loss","05072025_yolov11n_histEQ - train/box_loss__MIN","05072025_yolov11n_histEQ - train/box_loss__MAX","05072025_yolov11s_histEQ2 - train/box_loss","05072025_yolov11s_histEQ2 - train/box_loss__MIN","05072025_yolov11s_histEQ2 - train/box_loss__MAX","05072025_yolov11l_histEQ3 - train/box_loss","05072025_yolov11l_histEQ3 - train/box_loss__MIN","05072025_yolov11l_histEQ3 - train/box_loss__MAX","04072025_yolov11m_histEQ - train/box_loss","04072025_yolov11m_histEQ - train/box_loss__MIN","04072025_yolov11m_histEQ - train/box_loss__MAX"
"46","0.84287","0.84287","0.84287","1.0871","1.0871","1.0871","1.37745","1.37745","1.37745","1.29539","1.29539","1.29539"
"47","0.8759","0.8759","0.8759","1.13594","1.13594","1.13594","1.39819","1.39819","1.39819","1.24908","1.24908","1.24908"
"48","0.896","0.896","0.896","1.15538","1.15538","1.15538","1.37521","1.37521","1.37521","1.17416","1.17416","1.17416"
"49","0.86233","0.86233","0.86233","1.11827","1.11827","1.11827","1.33109","1.33109","1.33109","1.20545","1.20545","1.20545"
"50","0.86583","0.86583","0.86583","1.10715","1.10715","1.10715","1.34423","1.34423","1.34423","1.19284","1.19284","1.19284"
"51","0.89307","0.89307","0.89307","1.09832","1.09832","1.09832","1.36863","1.36863","1.36863","1.20039","1.20039","1.20039"
"52","0.8843","0.8843","0.8843","1.08106","1.08106","1.08106","1.38534","1.38534","1.38534","1.22467","1.22467","1.22467"
"53","0.86386","0.86386","0.86386","1.02371","1.02371","1.02371","1.31471","1.31471","1.31471","1.2055","1.2055","1.2055"
"54","0.85686","0.85686","0.85686","1.09309","1.09309","1.09309","1.28525","1.28525","1.28525","1.18335","1.18335","1.18335"
"55","0.85982","0.85982","0.85982","1.06157","1.06157","1.06157","1.26702","1.26702","1.26702","1.22053","1.22053","1.22053"
"56","0.87091","0.87091","0.87091","1.06164","1.06164","1.06164","1.25991","1.25991","1.25991","1.20089","1.20089","1.20089"
"57","0.82994","0.82994","0.82994","1.04139","1.04139","1.04139","1.2548","1.2548","1.2548","1.19228","1.19228","1.19228"
"58","0.83729","0.83729","0.83729","1.04371","1.04371","1.04371","1.26028","1.26028","1.26028","1.15018","1.15018","1.15018"
"59","0.81989","0.81989","0.81989","1.07491","1.07491","1.07491","1.25567","1.25567","1.25567","1.17149","1.17149","1.17149"
"60","0.85733","0.85733","0.85733","1.07138","1.07138","1.07138","1.21146","1.21146","1.21146","1.13496","1.13496","1.13496"
"61","0.84404","0.84404","0.84404","1.02813","1.02813","1.02813","1.20755","1.20755","1.20755","1.13684","1.13684","1.13684"
"62","0.8261","0.8261","0.8261","1.01318","1.01318","1.01318","1.15743","1.15743","1.15743","1.13356","1.13356","1.13356"
"63","0.84873","0.84873","0.84873","1.02266","1.02266","1.02266","1.14531","1.14531","1.14531","1.12805","1.12805","1.12805"
"64","0.86257","0.86257","0.86257","1.04781","1.04781","1.04781","1.17615","1.17615","1.17615","1.15129","1.15129","1.15129"
"65","0.83852","0.83852","0.83852","1.00916","1.00916","1.00916","1.18747","1.18747","1.18747","1.13845","1.13845","1.13845"
"66","0.83999","0.83999","0.83999","1.0033","1.0033","1.0033","1.17924","1.17924","1.17924","1.10177","1.10177","1.10177"
"67","0.83712","0.83712","0.83712","1.0212","1.0212","1.0212","1.19519","1.19519","1.19519","1.10705","1.10705","1.10705"
"68","0.82435","0.82435","0.82435","1.01222","1.01222","1.01222","1.16905","1.16905","1.16905","1.12519","1.12519","1.12519"
"69","0.81831","0.81831","0.81831","1.01546","1.01546","1.01546","1.17477","1.17477","1.17477","1.10673","1.10673","1.10673"
"70","0.83856","0.83856","0.83856","1.04132","1.04132","1.04132","1.17621","1.17621","1.17621","1.07451","1.07451","1.07451"
"71","0.81898","0.81898","0.81898","0.98896","0.98896","0.98896","1.16485","1.16485","1.16485","1.09402","1.09402","1.09402"
"72","0.82272","0.82272","0.82272","1.04518","1.04518","1.04518","1.20692","1.20692","1.20692","1.10508","1.10508","1.10508"
"73","0.8078","0.8078","0.8078","0.99273","0.99273","0.99273","1.20171","1.20171","1.20171","1.06986","1.06986","1.06986"
"74","0.79252","0.79252","0.79252","1.00066","1.00066","1.00066","1.14912","1.14912","1.14912","1.08827","1.08827","1.08827"
"75","0.77789","0.77789","0.77789","0.96495","0.96495","0.96495","1.1596","1.1596","1.1596","1.08972","1.08972","1.08972"
"76","0.79743","0.79743","0.79743","0.98149","0.98149","0.98149","1.15751","1.15751","1.15751","1.0828","1.0828","1.0828"
"77","0.80908","0.80908","0.80908","1.00132","1.00132","1.00132","1.15612","1.15612","1.15612","1.05942","1.05942","1.05942"
"78","0.8283","0.8283","0.8283","0.94499","0.94499","0.94499","1.18178","1.18178","1.18178","1.0486","1.0486","1.0486"
