"Step","train/dfl_loss","train/dfl_loss__MIN","train/dfl_loss__MAX"
"167","1.48734","1.48734","1.48734"
"168","1.52578","1.52578","1.52578"
"169","1.49631","1.49631","1.49631"
"170","1.49498","1.49498","1.49498"
"171","1.54218","1.54218","1.54218"
"172","1.51699","1.51699","1.51699"
"173","1.51214","1.51214","1.51214"
"174","1.47004","1.47004","1.47004"
"175","1.49512","1.49512","1.49512"
"176","1.51943","1.51943","1.51943"
"177","1.5237","1.5237","1.5237"
"178","1.55607","1.55607","1.55607"
"179","1.5118","1.5118","1.5118"
"180","1.49324","1.49324","1.49324"
"181","1.50992","1.50992","1.50992"
"182","1.48168","1.48168","1.48168"
"183","1.47019","1.47019","1.47019"
"184","1.49427","1.49427","1.49427"
"185","1.44831","1.44831","1.44831"
"186","1.46957","1.46957","1.46957"
"187","1.45706","1.45706","1.45706"
"188","1.46096","1.46096","1.46096"
"189","1.44827","1.44827","1.44827"
"190","1.49478","1.49478","1.49478"
"191","1.46069","1.46069","1.46069"
"192","1.47428","1.47428","1.47428"
"193","1.43464","1.43464","1.43464"
"194","1.47394","1.47394","1.47394"
"195","1.48443","1.48443","1.48443"
"196","1.48182","1.48182","1.48182"
"197","1.46702","1.46702","1.46702"
"198","1.47315","1.47315","1.47315"
"199","1.45507","1.45507","1.45507"
"200","1.47376","1.47376","1.47376"
"201","1.45495","1.45495","1.45495"
"202","1.43528","1.43528","1.43528"
"203","1.43764","1.43764","1.43764"
"204","1.45749","1.45749","1.45749"
"205","1.44121","1.44121","1.44121"
"206","1.43796","1.43796","1.43796"
"207","1.4592","1.4592","1.4592"
"208","1.45356","1.45356","1.45356"
"209","1.4554","1.4554","1.4554"
"210","1.4769","1.4769","1.4769"
"211","1.42409","1.42409","1.42409"
"212","1.43085","1.43085","1.43085"
"213","1.45301","1.45301","1.45301"
"214","1.44551","1.44551","1.44551"
"215","1.43664","1.43664","1.43664"
"216","1.43229","1.43229","1.43229"
"217","1.45253","1.45253","1.45253"
