2025-10-02 21:06:42,390 INFO    StreamThr :2750611 [internal.py:wandb_internal():86] W&B internal server running at pid: 2750611, started at: 2025-10-02 21:06:42.390378
2025-10-02 21:06:42,391 DEBUG   HandlerThread:2750611 [handler.py:handle_request():146] handle_request: status
2025-10-02 21:06:42,393 INFO    WriterThread:2750611 [datastore.py:open_for_write():87] open: /mnt/data/kai/VinDr_Code/Mini_VinDr_CXR_Dataset/dicom_comparison/wandb/run-20251002_210642-p74ooomo/run-p74ooomo.wandb
2025-10-02 21:06:42,393 DEBUG   SenderThread:2750611 [sender.py:send():379] send: header
2025-10-02 21:06:42,393 DEBUG   SenderThread:2750611 [sender.py:send():379] send: run
2025-10-02 21:06:43,223 INFO    SenderThread:2750611 [dir_watcher.py:__init__():211] watching files in: /mnt/data/kai/VinDr_Code/Mini_VinDr_CXR_Dataset/dicom_comparison/wandb/run-20251002_210642-p74ooomo/files
2025-10-02 21:06:43,223 INFO    SenderThread:2750611 [sender.py:_start_run_threads():1124] run started: p74ooomo with start time 1759410402.390154
2025-10-02 21:06:43,226 DEBUG   HandlerThread:2750611 [handler.py:handle_request():146] handle_request: check_version
2025-10-02 21:06:43,226 DEBUG   SenderThread:2750611 [sender.py:send_request():406] send_request: check_version
2025-10-02 21:06:43,496 DEBUG   HandlerThread:2750611 [handler.py:handle_request():146] handle_request: run_start
2025-10-02 21:06:43,506 DEBUG   HandlerThread:2750611 [system_info.py:__init__():26] System info init
2025-10-02 21:06:43,506 DEBUG   HandlerThread:2750611 [system_info.py:__init__():41] System info init done
2025-10-02 21:06:43,506 INFO    HandlerThread:2750611 [system_monitor.py:start():194] Starting system monitor
2025-10-02 21:06:43,506 INFO    SystemMonitor:2750611 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-10-02 21:06:43,507 INFO    SystemMonitor:2750611 [interfaces.py:start():190] Started cpu monitoring
2025-10-02 21:06:43,507 INFO    HandlerThread:2750611 [system_monitor.py:probe():214] Collecting system info
2025-10-02 21:06:43,507 INFO    SystemMonitor:2750611 [interfaces.py:start():190] Started disk monitoring
2025-10-02 21:06:43,507 INFO    SystemMonitor:2750611 [interfaces.py:start():190] Started gpu monitoring
2025-10-02 21:06:43,508 INFO    SystemMonitor:2750611 [interfaces.py:start():190] Started memory monitoring
2025-10-02 21:06:43,508 INFO    SystemMonitor:2750611 [interfaces.py:start():190] Started network monitoring
2025-10-02 21:06:43,517 DEBUG   HandlerThread:2750611 [system_info.py:probe():150] Probing system
2025-10-02 21:06:43,518 DEBUG   HandlerThread:2750611 [system_info.py:_probe_git():135] Probing git
2025-10-02 21:06:43,521 DEBUG   HandlerThread:2750611 [system_info.py:_probe_git():143] Probing git done
2025-10-02 21:06:43,521 DEBUG   HandlerThread:2750611 [system_info.py:probe():198] Probing system done
